,HTP,ATP,HM1_D,HM1_L,HM1_W,HM2_D,HM2_L,HM2_W,HM3_D,HM3_L,HM3_W,AM1_D,AM1_L,AM1_W,AM2_D,AM2_L,AM2_W,AM3_D,AM3_L,AM3_W,HTGD,ATGD,DiffFormPts
455,-0.40554335337142994,-0.4187802141354196,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,-0.19573213940662024,-0.5135388568640259,0.0
456,-0.4710585008120408,-0.4716552453524531,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,-0.49700666944564437,-1.013229981371591,0.0
457,-0.5496766777407741,-0.4452177297439364,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,-1.8025296329480818,-0.4136006319625129,0.0
458,-0.44485244183579653,-0.2865926360928357,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,-0.396581826099303,1.1854109664616956,-0.6923076923076923
459,-0.4710585008120408,-0.23371760487580215,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,-0.9991308861773511,1.3852874162647213,-0.38461538461538464
460,-0.4214541748927211,-0.5075347308211545,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,-0.46114065396480813,-0.9418455350133674,0.0
461,-0.49445676775511627,-0.5566329740941143,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,-1.3004054162163752,-1.7770435574045835,0.42857142857142855
462,-0.5187909653759146,-0.24976895363811585,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,-0.7408955747153304,1.378148971628899,-0.6428571428571429
463,-0.25111479154713245,-0.48298560918467465,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,2.149905273040067,-1.2202448758104394,0.42857142857142855
464,-0.27544898916793076,-0.42161280509347493,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1.6836470717891967,0.3573513887063018,0.21428571428571427
465,-0.3971199772719227,-0.4093382442752351,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0.09836918753623658,-0.19944729288784213,0.14285714285714285
466,-0.48228966894471703,-0.20067071036515616,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,-0.5543922942149823,2.3061467742858057,-0.35714285714285715
467,-0.4336212737031203,-0.6302803390035538,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0.09836918753623658,-2.519441799530109,0.5
468,-0.20244639630553576,-0.24976895363811585,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,2.3364085535404158,2.120547213754424,-0.07142857142857142
469,-0.25111479154713245,-0.5075347308211545,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1.4038921510386742,-0.9418455350133674,0.5714285714285714
470,-0.41253163576509505,-0.4126114604934324,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,-0.1689521811809292,0.15937852413949508,-0.06666666666666668
471,-0.6282948546695073,-0.4011552037297418,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,-2.431858651251821,0.07276539589151713,-0.4666666666666667
472,-0.4011756768753892,-0.45843648754819477,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0.0051175472860624715,-0.9665921430842181,-0.2
473,-0.4238875946548009,-0.5042615146029572,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0.3532570042200458,-1.3996577843241083,0.13333333333333333
474,-0.21948033464009464,-0.4011552037297418,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1.5717451034889875,-0.3603002453483726,0.5333333333333333
475,-0.33303992353715367,-0.2636801225654545,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0.7013964611540292,1.63180170435512,-0.06666666666666668
476,-0.49202334799303643,-0.45843648754819477,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,-1.3874402804498713,-0.2736871171003947,-0.2
477,-0.5260912246621541,-0.5157177713666479,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,-1.4744751446833668,-0.7067527583402844,-0.06666666666666668
478,-0.4579554713239187,-0.33241766314759813,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,-0.9522659592823917,0.6790572936273628,0.0
479,-0.24219225241950645,-0.21785509551069207,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,2.2680240173569546,1.5451885761071422,-0.06666666666666668
480,-0.4153706254875215,-0.25437191394495584,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,-0.7292391196840586,1.3665489990956876,-0.375
481,-0.40472441402842224,-0.4047352839683951,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0.08671273250496482,-0.013847732356460828,-0.125
482,-0.22373881922373434,-0.4047352839683951,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,2.044997177758621,0.5545509217708945,0.3125
483,-0.5111865286194152,-0.5013974504120345,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,-1.545190971873082,-1.556644079273568,-0.1875
484,-0.5218327400785144,-0.5336181725599144,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,-1.055619860559668,-1.4754442715410887,0.125
485,-0.4366630484057201,-0.6195400982875939,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,-0.07647763793283988,-2.287442348865882,0.5
486,-0.28761608797833005,-0.415475524684355,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1.3922356960074025,-0.1762473478214195,0.0
487,-0.48989410570121655,-0.415475524684355,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,-0.566048749246254,0.14855188310849782,0.125
488,-0.21309260776463504,-0.4369560061162749,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1.8818068073208165,-0.09504754008894016,0.25
489,-0.2556774536010322,-0.45843648754819477,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1.3922356960074025,-0.9070456174137335,0.25
490,-0.3978356889666521,-0.23605032684125943,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0.0051175472860624715,1.896735978995994,-0.05882352941176471
